"Source:","/home/antonio/dev/theia/THEIA/THEIA.kicad_sch"
"Date:","So 10 Apr 2022 12:37:45 CEST"
"Tool:","Eeschema 6.0.4-6f826c9f35~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","155"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","AVAILABILITY","DESCRIPTION","Digi-Key_Part-Number","Digi-Key_Part_Number","Digi-Key_Part_number","Digi-Key_partNumber","GEOMETRY_HEIGHT","MANUFACTURER","MF","MP","Manufacturer","ORDERCODE-MANU1","PACKAGE","PRICE","VALUE"
"","","C24","0.47uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","1276-6480-1-ND","","","","","","CL21B474KAFNNNG","Samsung Electro-Mechanics","","","",""
"","","C25","22uF","Device:C","KRM55TR71H-Murata-CAP:CAPC6153X500N","~","","","","490-14395-1-ND","","","","","","KRM55TR71H226MH01K","Murata Electronics","","","",""
"","","C26","22uF","Device:C","KRM55TR71H-Murata-CAP:CAPC6153X500N","~","","","","490-14395-1-ND","","","","","","KRM55TR71H226MH01K","Murata Electronics","","","",""
"","","C27","22uF","Device:C","KRM55TR71H-Murata-CAP:CAPC6153X500N","~","","","","490-14395-1-ND","","","","","","KRM55TR71H226MH01K","Murata Electronics","","","",""
"","","C28","22uF","Device:C","KRM55TR71H-Murata-CAP:CAPC6153X500N","~","","","","490-14395-1-ND","","","","","","KRM55TR71H226MH01K","Murata Electronics","","","",""
"","","C29","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","1276-2891-1-ND","","","","","","CL21A106KAYNNNE","Samsung Electro-Mechanics","","","",""
"","","C30","22uF","Device:C","KRM55TR71H-Murata-CAP:CAPC6153X500N","~","","","","490-14395-1-ND","","","","","","KRM55TR71H226MH01K","Murata Electronics","","","",""
"","","C31","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","1276-2891-1-ND","","","","","","CL21A106KAYNNNE","Samsung Electro-Mechanics","","","",""
"","","C32","22uF","Device:C","KRM55TR71H-Murata-CAP:CAPC6153X500N","~","","","","490-14395-1-ND","","","","","","KRM55TR71H226MH01K","Murata Electronics","","","",""
"","","C33","22uF","Device:C_Polarized","Capacitor_SMD:CP_Elec_8x10.5","~","","","","1189-2383-1-ND","","","","","","100SEV22M8X10.5","Rubycon","","","",""
"","","C34","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","732-12215-1-ND","","","","","","885012007094","Würth Elektronik","","","",""
"","","C35","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","732-12215-1-ND","","","","","","885012007094","Würth Elektronik","","","",""
"","","C36","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","732-12215-1-ND","","","","","","885012007094","Würth Elektronik","","","",""
"","","C37","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","732-12215-1-ND","","","","","","885012007094","Würth Elektronik","","","",""
"","","D1","~","Device:LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","","","350-4363-1-ND","","","","","","5990240007F","Dialight","","","",""
"","","D2","10V-Zener","Device:D_Schottky","Diode_SMD:D_SOD-123","~","","","","3757-MMSZ5240B_R1_00001CT-ND","","","","","","MMSZ5240B_R1_00001","Panjit International Inc.","","","",""
"","","D3","~","Device:LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","","","350-4363-1-ND","","","","","","5990240007F","Dialight","","","",""
"","","D4","1N5819","Diode:1N5819","Diode_SMD:D_SOD-123F","http://www.vishay.com/docs/88525/1n5817.pdf","","","","1655-1N5819WTRCT-ND","","","","","","1N5819WTR","SMC Diode Solutions","","","",""
"","","D5","ESD9B5.0ST5G","Diode:ESD9B5.0ST5G","Diode_SMD:D_SOD-923","https://www.onsemi.com/pub/Collateral/ESD9B-D.PDF","","","ESD9B5.0ST5GOSCT-ND","","","","","","","ESD9B5.0ST5GOSCT-ND","onsemi","","","",""
"","","D6","ESD9B5.0ST5G","Diode:ESD9B5.0ST5G","Diode_SMD:D_SOD-923","https://www.onsemi.com/pub/Collateral/ESD9B-D.PDF","","","ESD9B5.0ST5GOSCT-ND","","","","","","","ESD9B5.0ST5GOSCT-ND","onsemi","","","",""
"","","H1","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_4.3mm_M4_Pad_Via","~","","","","","","","","","","","","","","",""
