"Source:","/home/antonio/dev/theia/THEIA/THEIA.kicad_sch"
"Date:","So 10 Apr 2022 12:37:45 CEST"
"Tool:","Eeschema 6.0.4-6f826c9f35~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","155"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","AVAILABILITY","DESCRIPTION","Digi-Key_Part-Number","Digi-Key_Part_Number","Digi-Key_Part_number","Digi-Key_partNumber","GEOMETRY_HEIGHT","MANUFACTURER","MF","MP","Manufacturer","ORDERCODE-MANU1","PACKAGE","PRICE","VALUE"
"","","R27","0R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","RMCF1206ZT0R00CT-ND","","","","","","RMCF1206ZT0R00","Stackpole Electronics Inc","","","",""
"","","R28","0R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","RMCF1206ZT0R00CT-ND","","","","","","RMCF1206ZT0R00","Stackpole Electronics Inc","","","",""
"","","R29","0R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","RMCF1206ZT0R00CT-ND","","","","","","RMCF1206ZT0R00","Stackpole Electronics Inc","","","",""
"","","R30","5K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","RG20P4.99KBCT-ND","","","","","","RG2012P-4991-B-T5","Susumu","","","",""
"","","R31","5K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","RG20P4.99KBCT-ND","","","","","","RG2012P-4991-B-T5","Susumu","","","",""
"","","R32","10K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","RNCP1206FTD10K0CT-ND","","","","","RNCP1206FTD10K0","Stackpole Electronics Inc","","","",""
"","","SW1","SW_Push","Switch:SW_Push","Connector_Molex:Molex_Micro-Fit_3.0_43650-0221_1x02_P3.00mm_Vertical","~","","","","","","","","","","","","","","",""
"","","TP1","TestPoint","Connector:TestPoint","TestPoint:TestPoint_THTPad_D2.5mm_Drill1.2mm","~","","","","","","","","","","","","","","",""
"","","TP2","TestPoint","Connector:TestPoint","TestPoint:TestPoint_THTPad_D2.5mm_Drill1.2mm","~","","","","","","","","","","","","","","",""
"","","TP3","TestPoint","Connector:TestPoint","TestPoint:TestPoint_THTPad_D2.5mm_Drill1.2mm","~","","","","","","","","","","","","","","",""
"","","TP4","TestPoint","Connector:TestPoint","TestPoint:TestPoint_THTPad_D2.5mm_Drill1.2mm","~","","","","","","","","","","","","","","",""
"","","TP5","~","Connector:TestPoint","TestPoint:TestPoint_THTPad_D2.5mm_Drill1.2mm","~","","","","","","","","","","","","","","",""
"","","TP6","TestPoint","Connector:TestPoint","TestPoint:TestPoint_THTPad_D2.5mm_Drill1.2mm","~","","","","","","","","","","","","","","",""
"","","TP7","TestPoint","Connector:TestPoint","TestPoint:TestPoint_THTPad_D2.5mm_Drill1.2mm","~","","","","","","","","","","","","","","",""
"","","TP8","TestPoint","Connector:TestPoint","TestPoint:TestPoint_THTPad_D2.5mm_Drill1.2mm","~","","","","","","","","","","","","","","",""
"","","TP9","TestPoint","Connector:TestPoint","TestPoint:TestPoint_THTPad_D2.5mm_Drill1.2mm","~","","","","","","","","","","","","","","",""
"","","TP10","~","Connector:TestPoint","TestPoint:TestPoint_THTPad_D2.5mm_Drill1.2mm","~","","","","","","","","","","","","","","",""
"","","TP11","~","Connector:TestPoint","TestPoint:TestPoint_THTPad_D2.5mm_Drill1.2mm","~","","","","","","","","","","","","","","",""
"","","TP12","~","Connector:TestPoint","TestPoint:TestPoint_THTPad_D2.5mm_Drill1.2mm","~","","","","","","","","","","","","","","",""
"","","TP13","~","Connector:TestPoint","TestPoint:TestPoint_THTPad_D2.5mm_Drill1.2mm","~","","","","","","","","","","","","","","",""
"","","TP14","~","Connector:TestPoint","TestPoint:TestPoint_THTPad_D2.5mm_Drill1.2mm","~","","","","","","","","","","","","","","",""
"","","TP15","TestPoint","Connector:TestPoint","TestPoint:TestPoint_THTPad_D2.5mm_Drill1.2mm","~","","","","","","","","","","","","","","",""
"","","TP16","~","Connector:TestPoint","TestPoint:TestPoint_THTPad_D2.5mm_Drill1.2mm","~","","","","","","","","","","","","","","",""
"","","TP17","~","Connector:TestPoint","TestPoint:TestPoint_THTPad_D2.5mm_Drill1.2mm","~","","","","","","","","","","","","","","",""
"","","U1","GPTS203211B","GPTS203211B_THT_Switch:GPTS203211B","SWITCH_03211B:GPTS203211B","","","","","CW181-ND","","","","","","GPTS203211B","CW Industries","","","",""
"","","U2","GPTS203211B","GPTS203211B_THT_Switch:GPTS203211B","SWITCH_03211B:GPTS203211B","","","","","CW181-ND","","","","","","GPTS203211B","CW Industries","","","",""
"","","U3","ESP32-WROOM-E","espressif:ESP32-WROOM-E","Espressif:ESP32-WROOM-32E","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32e_esp32-wroom-32ue_datasheet_en.pdf","","","","","","","","","","","","","","",""
"","","U4","~","murata-power-regulator-rescue:OKI-78SR-12v-knownParts","Package_TO_SOT_SMD:TO-252-2","","","","","LM78M05CDT-ND","","","","","","LM78M05CDT","Texas Instruments","","","",""
"","","U5","~","murata-power-regulator-rescue:OKI-78SR-12v-knownParts","Package_TO_SOT_SMD:TO-263-3_TabPin2","","","","","296-50317-ND","","","","","","LM7812S/NOPB","Texas Instruments","","","",""
"","","U6","~","Regulator_Linear:NCP1117-3.3_TO252","Package_TO_SOT_SMD:TO-252-3_TabPin2","http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF","","","","NCP1117DT33T5GOSCT-ND","","","","","","NCP1117DT33T5G","","","","",""
"","","U7","~","murata-power-regulator-rescue:OKI-78SR-12v-knownParts","Package_TO_SOT_SMD:TO-252-2","","","","","LM78M05CDT-ND","","","","","","LM78M05CDT","Texas Instruments","","","",""
"","","U8","CP2102-GM","CP2012-Ultralibrarian:CP2102-GM","CP2102-GM:CP2102-GM","","","","","336-1160-5-ND","","","","","","CP2102-GM","Silicon Labs","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","AVAILABILITY","DESCRIPTION","Digi-Key_Part-Number","Digi-Key_Part_Number","Digi-Key_Part_number","Digi-Key_partNumber","GEOMETRY_HEIGHT","MANUFACTURER","MF","MP","Manufacturer","ORDERCODE-MANU1","PACKAGE","PRICE","VALUE"
"1","11","C1, C2, C6, C8, C12, C14, C15, C16, C17, C18, C19","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","1276-6840-1-ND","","","","","","CL21B104KCFNNNE","Samsung Electro-Mechanics","","","",""
"2","7","C3, C4, C7, C34, C35, C36, C37","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","732-12215-1-ND","","","","","","885012007094","Würth Elektronik","","","",""
"3","1","C5","C22uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","1276-2910-1-ND","","","","","","CL21A226MPQNNNE","Samsung Electro-Mechanics","","","",""
"4","2","C9, C10","2.2uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","1276-1162-1-ND","","","","","","CL21B225KOFNNNE","Samsung Electro-Mechanics","","","",""
"5","3","C11, C23, C24","0.47uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","1276-6480-1-ND","","","","","","CL21B474KAFNNNG","Samsung Electro-Mechanics","","","",""
"6","1","C13","0.022uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","478-1360-1-ND","","","","","","08051C223KAT2A","KYOCERA AVX","","","",""
"7","1","C20","4.7uF","Device:C","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~","","","","1276-7060-1-ND","","","","","","CL32B475KCVZW6E","Samsung Electro-Mechanics","","","",""
"8","3","C21, C22, C33","22uF","Device:C_Polarized","Capacitor_SMD:CP_Elec_8x10.5","~","","","","1189-2383-1-ND","","","","","","100SEV22M8X10.5","Rubycon","","","",""
"9","6","C25, C26, C27, C28, C30, C32","22uF","Device:C","KRM55TR71H-Murata-CAP:CAPC6153X500N","~","","","","490-14395-1-ND","","","","","","KRM55TR71H226MH01K","Murata Electronics","","","",""
"10","2","C29, C31","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","1276-2891-1-ND","","","","","","CL21A106KAYNNNE","Samsung Electro-Mechanics","","","",""
"11","2","D1, D3","~","Device:LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","","","350-4363-1-ND","","","","","","5990240007F","Dialight","","","",""
"12","1","D2","10V-Zener","Device:D_Schottky","Diode_SMD:D_SOD-123","~","","","","3757-MMSZ5240B_R1_00001CT-ND","","","","","","MMSZ5240B_R1_00001","Panjit International Inc.","","","",""
"13","1","D4","1N5819","Diode:1N5819","Diode_SMD:D_SOD-123F","http://www.vishay.com/docs/88525/1n5817.pdf","","","","1655-1N5819WTRCT-ND","","","","","","1N5819WTR","SMC Diode Solutions","","","",""
"14","2","D5, D6","ESD9B5.0ST5G","Diode:ESD9B5.0ST5G","Diode_SMD:D_SOD-923","https://www.onsemi.com/pub/Collateral/ESD9B-D.PDF","","","ESD9B5.0ST5GOSCT-ND","","","","","","","ESD9B5.0ST5GOSCT-ND","onsemi","","","",""
"15","6","H1, H2, H3, H4, H5, H6","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_4.3mm_M4_Pad_Via","~","","","","","","","","","","","","","","",""
"16","1","IC1","TMC5160-TA","TMC5160-TA:TMC5160-TA","Package_QFP:TQFP-48-1EP_7x7mm_P0.5mm_EP5x5mm_ThermalVias","","","Universal high voltage controller for two-phase bipolar stepper motor. TQFP48-EP","","","","","1.2mm","TRINAMIC","","","","TMC5160-TA","","","TMC5160-TA"
"17","6","J1, J2, J4, J5, J21, J22","Conn_01x03_Female","Connector:Conn_01x03_Female","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"18","1","J3","Conn_01x04_Male","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"19","1","J6","Conn_01x04_Female","Connector:Conn_01x04_Female","Connector_Molex:Molex_Micro-Fit_3.0_43650-0410_1x04-1MP_P3.00mm_Horizontal","~","","","","","","","","","","","","","","",""
"20","2","J7, J9","Conn_01x05_Female","Connector:Conn_01x05_Female","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"21","1","J8","~","Connector:Conn_01x05_Female","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"22","1","J10","~","Connector:Conn_01x06_Female","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"23","2","J11, J13","~","Connector:Conn_01x04_Female","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"24","1","J12","Conn_01x04_Female","Connector:Conn_01x04_Female","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"25","2","J14, J15","Conn_01x20_Male","Connector:Conn_01x20_Male","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"26","2","J16, J17","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"27","1","J18","Conn_01x02_Female","Connector:Conn_01x02_Female","Connector_Molex:Molex_Micro-Fit_3.0_43650-0221_1x02_P3.00mm_Vertical","~","","","","","","","","","","","","","","",""
"28","4","J19, J20, J23, J24","~","Connector:Conn_01x01_Female","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"29","1","J25","~","105450-0101-USB-C-SNAPEDA:105450-0101","Molex-USB-C:1054500101","","Good","USB Shielded I/O Receptacle; Type C; Right Angle; Surface Mount; Gold over Nickel","","WM12856CT-ND","","","","","Molex","105450-0101","","","None","1.71 USD",""
"30","10","JP1, JP2, JP3, JP4, JP6, JP7, JP8, JP9, JP10, JP11","Jumper_2_Bridged","Jumper:Jumper_2_Bridged","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"31","1","JP5","~","Jumper:Jumper_2_Bridged","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"32","8","Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8","IRLZ44N-SPBF","knownParts:IRLZ44N-SPBF","Package_TO_SOT_SMD:TO-263-2","https://www.infineon.com/dgdl/irlz44nspbf.pdf?fileId=5546d462533600a40153567221272727","","","","IRLZ44NSPBF-ND","","","","","","IRLZ44NSPBF","Infineon Technologies","","","",""
"33","1","Q9","IRF7606PBF","ariadne-rescue:IRF5305-Reverse-Polarity-ariadne","Package_TO_SOT_SMD:TO-263-2","http://www.irf.com/product-info/datasheets/data/irf7606pbf.pdf","","","","IRF9540STRLPBFCT-ND","","","","","","IRF9540STRLPBF","Vishay Siliconix","","","",""
"34","1","Q10","S8050","Transistor_BJT:S8050","Package_TO_SOT_SMD:SOT-23","https://www.mccsemi.com/pdf/Products/MMSS8050(SOT-23).pdf","","","","","","MMSS8050-H-TPMSCT-ND","","","","MMSS8050-H-TP","Micro Commercial Co","","","",""
"35","1","Q11","~","Transistor_BJT:S8050","Package_TO_SOT_SMD:SOT-23","https://www.mccsemi.com/pdf/Products/MMSS8050(SOT-23).pdf","","","","","","MMSS8050-H-TPMSCT-ND","","","","MMSS8050-H-TP","Micro Commercial Co","","","",""
"36","4","R1, R4, R30, R31","5K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","RG20P4.99KBCT-ND","","","","","","RG2012P-4991-B-T5","Susumu","","","",""
"37","1","R2","R10K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","RNCP1206FTD10K0CT-ND","","","","","RNCP1206FTD10K0","Stackpole Electronics Inc","","","",""
"38","1","R3","~","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","RNCP1206FTD100RCT-ND","","","","","","RNCP1206FTD100R","Stackpole Electronics Inc","","","",""
"39","1","R5","R2.2","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","73E4R050JCT-ND","","","","","","73E4R050J","CTS Resistor Products","","","",""
"40","8","R6, R7, R8, R13, R16, R17, R18, R19","R10K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","","","","","","",""
"41","4","R9, R10, R11, R12","R47","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","A129794CT-ND","","","","","","CRGCQ1206F47R","TE Connectivity Passive Product","","","",""
"42","2","R14, R15","R0.075","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","P.075AUCT-ND","","","","","","ERJ-8BWFR075V","Panasonic Electronic Components","","","",""
"43","1","R20","R100K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","RG32P100KBCT-ND","","","","","","RG3216P-1003-B-T1","Susumu","","","",""
"44","1","R21","R150K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","RNCP1206FTD150RCT-ND","","","","","","RNCP1206FTD150R","Stackpole Electronics Inc","","","",""
"45","2","R22, R26","R0","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","RMCF1206ZT0R00CT-ND","","","","","","RMCF1206ZT0R00","Stackpole Electronics Inc","","","",""
"46","1","R23","R3.3K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","RMCF1206JT3K30CT-ND","","","","","","RMCF1206JT3K30","Stackpole Electronics Inc","","","",""
"47","3","R24, R25, R32","10K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","RNCP1206FTD10K0CT-ND","","","","","RNCP1206FTD10K0","Stackpole Electronics Inc","","","",""
"48","3","R27, R28, R29","0R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","RMCF1206ZT0R00CT-ND","","","","","","RMCF1206ZT0R00","Stackpole Electronics Inc","","","",""
"49","1","SW1","SW_Push","Switch:SW_Push","Connector_Molex:Molex_Micro-Fit_3.0_43650-0221_1x02_P3.00mm_Vertical","~","","","","","","","","","","","","","","",""
"50","9","TP1, TP2, TP3, TP4, TP6, TP7, TP8, TP9, TP15","TestPoint","Connector:TestPoint","TestPoint:TestPoint_THTPad_D2.5mm_Drill1.2mm","~","","","","","","","","","","","","","","",""
"51","8","TP5, TP10, TP11, TP12, TP13, TP14, TP16, TP17","~","Connector:TestPoint","TestPoint:TestPoint_THTPad_D2.5mm_Drill1.2mm","~","","","","","","","","","","","","","","",""
"52","2","U1, U2","GPTS203211B","GPTS203211B_THT_Switch:GPTS203211B","SWITCH_03211B:GPTS203211B","","","","","CW181-ND","","","","","","GPTS203211B","CW Industries","","","",""
"53","1","U3","ESP32-WROOM-E","espressif:ESP32-WROOM-E","Espressif:ESP32-WROOM-32E","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32e_esp32-wroom-32ue_datasheet_en.pdf","","","","","","","","","","","","","","",""
"54","2","U4, U7","~","murata-power-regulator-rescue:OKI-78SR-12v-knownParts","Package_TO_SOT_SMD:TO-252-2","","","","","LM78M05CDT-ND","","","","","","LM78M05CDT","Texas Instruments","","","",""
"55","1","U5","~","murata-power-regulator-rescue:OKI-78SR-12v-knownParts","Package_TO_SOT_SMD:TO-263-3_TabPin2","","","","","296-50317-ND","","","","","","LM7812S/NOPB","Texas Instruments","","","",""
"56","1","U6","~","Regulator_Linear:NCP1117-3.3_TO252","Package_TO_SOT_SMD:TO-252-3_TabPin2","http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF","","","","NCP1117DT33T5GOSCT-ND","","","","","","NCP1117DT33T5G","","","","",""
"57","1","U8","CP2102-GM","CP2012-Ultralibrarian:CP2102-GM","CP2102-GM:CP2102-GM","","","","","336-1160-5-ND","","","","","","CP2102-GM","Silicon Labs","","","",""
